epoch | train_loss | train_acc | val_loss | val_acc
0 | 1.1863318167695212 | 0.6209862385321101 | 1.2111977033615113 | 0.6015
1 | 0.7066879556813371 | 0.7944380733944955 | 0.7560441493988037 | 0.7795
2 | 0.551789546231611 | 0.8345756880733946 | 0.6619181191921234 | 0.809
3 | 0.4816212978111495 | 0.8577981651376146 | 0.6249309635162353 | 0.8195
4 | 0.4095338689624716 | 0.8857511467889908 | 0.6041682224273681 | 0.833
5 | 0.3699154287850091 | 0.8913417431192661 | 0.602565703868866 | 0.8315
6 | 0.29775958938882985 | 0.9139908256880734 | 0.5700551955699921 | 0.8395
7 | 0.26763962564665245 | 0.9248853211009175 | 0.5872068552970886 | 0.8385
8 | 0.2569189592512376 | 0.923881880733945 | 0.6168378973007203 | 0.8395
9 | 0.19465165062371745 | 0.9435206422018348 | 0.5970480976104736 | 0.846
10 | 0.16053154172563772 | 0.9554185779816514 | 0.5738006608486176 | 0.8565
11 | 0.1519039634512652 | 0.9569954128440367 | 0.6137810020446778 | 0.8525
12 | 0.1408735161664289 | 0.9559919724770642 | 0.6969410300254821 | 0.8335
13 | 0.08568469033397119 | 0.9799311926605505 | 0.6340142416954041 | 0.8555
14 | 0.06575619900992158 | 0.9858084862385321 | 0.6763171553611755 | 0.8595
15 | 0.0667732976923842 | 0.9812213302752294 | 0.7296464986801148 | 0.856
16 | 0.07636581061390835 | 0.9772075688073395 | 0.7822289797663688 | 0.85
17 | 0.04248398656897042 | 0.989105504587156 | 0.826155146598816 | 0.8495
18 | 0.023725767436206614 | 0.997276376146789 | 0.858436556339264 | 0.8515
19 | 0.02008146745656882 | 0.9975630733944955 | 0.8805167315006256 | 0.8475
20 | 0.023844555105774774 | 0.9964162844036697 | 0.9537787327766418 | 0.8475
21 | 0.01917276075622494 | 0.9971330275229358 | 0.9561298670768738 | 0.8475
22 | 0.007851540143046221 | 0.9995699541284404 | 0.9749723093509675 | 0.8525
23 | 0.006077501479613193 | 0.9997133027522935 | 1.0660054421424865 | 0.8485
24 | 0.0032769232879418437 | 1.0 | 1.0503053002357483 | 0.8475
25 | 0.0026674499295207613 | 1.0 | 1.0700216398239135 | 0.8515
26 | 0.0019512031832923514 | 1.0 | 1.0972928431034088 | 0.853
27 | 0.0016719632469109097 | 1.0 | 1.111842176914215 | 0.8525
28 | 0.0014911750021792197 | 1.0 | 1.131399685382843 | 0.855
29 | 0.0012488206688297588 | 1.0 | 1.158514991760254 | 0.8535
30 | 0.0012942203883948916 | 1.0 | 1.1699883642196656 | 0.8495
31 | 0.0010018764739779225 | 1.0 | 1.1921988697052002 | 0.8525
32 | 0.0009051235670377629 | 1.0 | 1.2061661958694458 | 0.8525
33 | 0.0008237276757894289 | 1.0 | 1.2286011199951172 | 0.851
34 | 0.0007331630371515255 | 1.0 | 1.2342304458618165 | 0.852
35 | 0.0006562008871162875 | 1.0 | 1.2450312240123749 | 0.8545
36 | 0.0005937857516515795 | 1.0 | 1.2633481985330581 | 0.8535
37 | 0.0005701085947210464 | 1.0 | 1.283435923576355 | 0.8525
38 | 0.0005096821557653539 | 1.0 | 1.2947507972717285 | 0.855
39 | 0.0004604508818758421 | 1.0 | 1.3018805055618285 | 0.8515
